discovery_id,target,horizon,level,condition,feature_names,families,atom_ids,discovery_n,validation_n,holdout_n,discovery_baseline,validation_baseline,holdout_baseline,discovery_win_rate,validation_win_rate,holdout_win_rate,discovery_lift_pp,validation_lift_pp,holdout_lift_pp,discovery_q,discovery_ci_low,discovery_ci_high,holdout_ci_low,holdout_ci_high,discovery_payoff_ratio,validation_payoff_ratio,holdout_payoff_ratio,discovery_expectancy,validation_expectancy,holdout_expectancy,discovery_mfe_mean_atr,validation_mfe_mean_atr,holdout_mfe_mean_atr,discovery_mae_mean_atr,validation_mae_mean_atr,holdout_mae_mean_atr,temporal_consistency,parameter_stability,regime_consistency,oos_degradation_pp,oos_retention,verdict,score
58f08159198ba2,continuation_2,2,L3,dist_prior_low_atr_50 <= 0.482441883 AND reject_down_depth_atr_50 <= 0.482441883 AND atr_pct_200 >= 0.905,dist_prior_low_atr_50|reject_down_depth_atr_50|atr_pct_200,structure|other|volatility,0a877e2326e9|7d602ada3fda|8419a9752dca,41,16,18,,0.491319,0.47913,0.536585,0.375,0.555556,3.44146,-11.6319,7.64251,,0.387465,0.679438,0.337164,0.754405,0.989749,0.969232,1.05853,9.42329e-05,-0.000378242,0.000206745,5.38318e-06,6.66896e-06,6.95596e-06,6.11469e-06,5.90888e-06,6.63576e-06,0,NA,0,-4.20105,2.22072,WEAK,32.4244
189bde97af747b,continuation_2,2,L2,dist_prior_low_atr_50 <= 0.482441883 AND new_24h_lo == True,dist_prior_low_atr_50|new_24h_lo,structure|structure,0a877e2326e9|e8b2a840ed43,112,48,33,,0.491319,0.47913,0.598214,0.395833,0.545455,9.60435,-9.54861,6.63241,,0.505621,0.684294,0.379859,0.701571,0.919622,0.902507,1.16198,0.000190231,-0.000367539,0.000236225,1.75718e-05,1.3219e-05,1.43395e-05,1.55921e-05,2.14651e-05,1.52614e-05,1,NA,0,2.97194,0.690563,PROMISING,26.3107
9d52510e63134b,continuation_2,2,L2,bullish_engulfing == True AND absret_3 <= 0.000273203232,bullish_engulfing|absret_3,other|sequence,6a1639ebc3a6|07a0d2d3d23b,63,19,23,,0.491319,0.47913,0.365079,0.526316,0.565217,-13.7091,3.49963,8.6087,,0.257154,0.488513,0.368114,0.743654,1.10617,0.596924,0.486479,-0.000334615,-0.000308159,-0.000439762,1.87442e-05,1.42995e-05,1.5256e-05,1.72122e-05,1.48536e-05,1.86434e-05,0.5,NA,0,-22.3178,0.627953,WEAK,25.9256
3202b681a1e3db,continuation_2,2,L2,dist_prior_low_atr_50 <= 0.482441883 AND reject_down_depth_atr_50 <= 0.482441883,dist_prior_low_atr_50|reject_down_depth_atr_50,structure|other,0a877e2326e9|7d602ada3fda,341,123,114,,0.491319,0.47913,0.548387,0.447154,0.491228,4.62163,-4.4165,1.20976,,0.49532,0.600376,0.401252,0.581776,1.03774,0.953703,1.16066,0.000155076,-0.000173772,7.35189e-05,1.79205e-05,1.55716e-05,1.71623e-05,1.64806e-05,1.7162e-05,1.68447e-05,0.5,NA,0,3.41187,0.261761,WEAK,3.3811
5a78eae008aca2,continuation_2,2,L3,efficiency_13 >= 0.605043414 AND dist_prior_low_atr_50 <= 0.482441883 AND new_24h_lo == True,efficiency_13|dist_prior_low_atr_50|new_24h_lo,sequence|structure|structure,77fe964dbe30|0a877e2326e9|e8b2a840ed43,53,19,14,,0.491319,0.47913,0.641509,0.526316,0.5,13.9339,3.49963,2.08696,,0.506911,0.75698,0.267992,0.732008,1.22155,1.06487,1.5629,0.000425213,0.000126779,0.000414082,1.8608e-05,1.61703e-05,1.77418e-05,1.42788e-05,1.77113e-05,1.22316e-05,1,NA,0,11.8469,0.149776,WEAK,1.16955
c88b14a93544c4,continuation_2,2,L2,efficiency_13 >= 0.605043414 AND dist_prior_low_atr_50 <= 0.482441883,efficiency_13|dist_prior_low_atr_50,sequence|structure,77fe964dbe30|0a877e2326e9,115,40,37,,0.491319,0.47913,0.6,0.475,0.486486,9.78292,-1.63194,0.735605,,0.50863,0.684905,0.334464,0.641051,1.33338,0.988283,1.64237,0.00039448,-7.86197e-05,0.000304115,1.77539e-05,1.57588e-05,2.37634e-05,1.70672e-05,1.74353e-05,1.978e-05,0.5,NA,0,9.04732,0.0751928,WEAK,0.336451
b66f94edcac484,continuation_2,2,L2,open_loc >= 46796.5837 AND dist_prior_low_atr_50 <= 0.482441883,open_loc|dist_prior_low_atr_50,geometry|structure,e8fb30aabf4a|0a877e2326e9,78,26,17,,0.491319,0.47913,0.666667,0.576923,0.352941,16.4496,8.56036,-12.6189,,0.556414,0.761273,0.173097,0.586996,1.32998,1.28406,0.984705,0.000686249,0.000388488,-0.000429847,2.09814e-05,1.42005e-05,1.38673e-05,1.52076e-05,1.53724e-05,2.09286e-05,1,NA,0,29.0685,0.767127,REJECT,-39.913
de672a65c321d7,reversal_2,2,L2,open_loc >= 46796.5837 AND dist_prior_low_atr_50 <= 0.482441883,open_loc|dist_prior_low_atr_50,geometry|structure,e8fb30aabf4a|0a877e2326e9,78,26,17,,0.508681,0.52087,0.333333,0.423077,0.647059,-16.4496,-8.56036,12.6189,,0.238727,0.443586,0.413004,0.826903,0.751892,0.778777,1.01553,-0.000686249,-0.000388488,0.000429847,1.52076e-05,1.53724e-05,2.09286e-05,2.09814e-05,1.42005e-05,1.38673e-05,1,NA,0,-29.0685,0.767127,WEAK,39.913
8587bed65b9a1c,reversal_2,2,R3,doji == True AND inside_bar == True,doji|inside_bar,冒烟,R3-T1,104,29,29,,0.508681,0.52087,0.490385,0.62069,0.551724,-0.744462,11.2009,3.08546,,0.396376,0.585078,0.37548,0.715868,1.06859,1.00017,1.19545,2.00028e-05,0.000303816,0.000259529,3.90557e-05,3.27705e-05,3.32528e-05,3.73086e-05,4.16242e-05,3.0561e-05,0,NA,0,-3.82992,4.14455,WEAK,16.6157
409506652eb7ef,reversal_2,2,L2,efficiency_13 >= 0.605043414 AND dist_prior_low_atr_50 <= 0.482441883,efficiency_13|dist_prior_low_atr_50,sequence|structure,77fe964dbe30|0a877e2326e9,115,40,37,,0.508681,0.52087,0.4,0.525,0.513514,-9.78292,1.63194,-0.735605,,0.315095,0.49137,0.358949,0.665536,0.749976,1.01186,0.608875,-0.00039448,7.86197e-05,-0.000304115,1.70672e-05,1.74353e-05,1.978e-05,1.77539e-05,1.57588e-05,2.37634e-05,0.5,NA,0,-9.04732,0.0751928,REJECT,-0.336451
12f34eaea61749,reversal_2,2,L3,efficiency_13 >= 0.605043414 AND dist_prior_low_atr_50 <= 0.482441883 AND new_24h_lo == True,efficiency_13|dist_prior_low_atr_50|new_24h_lo,sequence|structure|structure,77fe964dbe30|0a877e2326e9|e8b2a840ed43,53,19,14,,0.508681,0.52087,0.358491,0.473684,0.5,-13.9339,-3.49963,-2.08696,,0.24302,0.493089,0.267992,0.732008,0.818633,0.939085,0.639835,-0.000425213,-0.000126779,-0.000414082,1.42788e-05,1.77113e-05,1.22316e-05,1.8608e-05,1.61703e-05,1.77418e-05,1,NA,0,-11.8469,0.149776,REJECT,-1.16955
73ee0e469ccb58,reversal_2,2,L2,dist_prior_low_atr_50 <= 0.482441883 AND reject_down_depth_atr_50 <= 0.482441883,dist_prior_low_atr_50|reject_down_depth_atr_50,structure|other,0a877e2326e9|7d602ada3fda,341,123,114,,0.508681,0.52087,0.451613,0.552846,0.508772,-4.62163,4.4165,-1.20976,,0.399624,0.50468,0.418224,0.598748,0.963632,1.04854,0.861576,-0.000155076,0.000173772,-7.35189e-05,1.64806e-05,1.7162e-05,1.68447e-05,1.79205e-05,1.55716e-05,1.71623e-05,0.5,NA,0,-3.41187,0.261761,REJECT,-3.3811
1a1aa07c889563,reversal_2,2,L2,bullish_engulfing == True AND absret_3 <= 0.000273203232,bullish_engulfing|absret_3,other|sequence,6a1639ebc3a6|07a0d2d3d23b,63,19,23,,0.508681,0.52087,0.634921,0.473684,0.434783,13.7091,-3.49963,-8.6087,,0.511487,0.742846,0.256346,0.631886,0.904019,1.67526,2.05559,0.000334615,0.000308159,0.000439762,1.72122e-05,1.48536e-05,1.86434e-05,1.87442e-05,1.42995e-05,1.5256e-05,0.5,NA,0,22.3178,0.627953,REJECT,-25.9256
4be84b715ae108,reversal_2,2,L2,dist_prior_low_atr_50 <= 0.482441883 AND new_24h_lo == True,dist_prior_low_atr_50|new_24h_lo,structure|structure,0a877e2326e9|e8b2a840ed43,112,48,33,,0.508681,0.52087,0.401786,0.604167,0.454545,-9.60435,9.54861,-6.63241,,0.315706,0.494379,0.298429,0.620141,1.0874,1.10802,0.8606,-0.000190231,0.000367539,-0.000236225,1.55921e-05,2.14651e-05,1.52614e-05,1.75718e-05,1.3219e-05,1.43395e-05,1,NA,0,-2.97194,0.690563,REJECT,-26.3107
c17314563ed42b,reversal_2,2,L3,dist_prior_low_atr_50 <= 0.482441883 AND reject_down_depth_atr_50 <= 0.482441883 AND atr_pct_200 >= 0.905,dist_prior_low_atr_50|reject_down_depth_atr_50|atr_pct_200,structure|other|volatility,0a877e2326e9|7d602ada3fda|8419a9752dca,41,16,18,,0.508681,0.52087,0.463415,0.625,0.444444,-3.44146,11.6319,-7.64251,,0.320562,0.612535,0.245595,0.662836,1.01036,1.03175,0.944704,-9.42329e-05,0.000378242,-0.000206745,6.11469e-06,5.90888e-06,6.63576e-06,5.38318e-06,6.66896e-06,6.95596e-06,0,NA,0,4.20105,2.22072,REJECT,-32.4244
